Block 1,unit 0,1872
Block 1,unit 1,540
Block 1,unit 2,2160
Block 1,unit 3,2340
Block 1,unit 4,432
Block 1,unit 5,2160
Block 2,unit 1,1010
Block 2,unit 2,1212
Block 2,unit 3,2740
Block 2,unit 4,2192
Block 2,unit 5,1212
Block 2,unit 6,1212
Block 2,unit 7,2192
Block 3,unit 1,720
Block 3,unit 2,864
Block 3,unit 3,2160
Block 3,unit 4,1728
Block 3,unit 5,864
Block 3,unit 6,864
Block 3,unit 7,1728
Block 4,unit 1,2460
Block 4,unit 2,2088
Block 4,unit 3,1740
Block 4,unit 4,3360
Block 4,unit 5,2088
Block 4,unit 6,2952
Block 4,unit 7,1392
Block 4,unit 8,1044
Block 4,unit 9,4200
Block 5,unit 1,1210
Block 5,unit 2,1452
Block 5,unit 3,3140
Block 5,unit 4,2512
Block 5,unit 5,1452
Block 5,unit 6,1452
Block 5,unit 7,2512
Block 6,unit 1,2990
Block 6,unit 2,2724
Block 6,unit 3,2270
Block 6,unit 4,4208
Block 6,unit 5,2724
Block 6,unit 6,3588
Block 6,unit 7,1816
Block 6,unit 8,1362
Block 6,unit 9,5260
